"CASE"	"SERIAL"	"REF"	"QUESTNNR"	"MODE"	"STARTED"	"AB03"	"DA01"	"DA07"	"DA06_01"	"DA05"	"DA05_05"	"DA05_01"	"DA05_02"	"DA05_03"	"DA08"	"DA08_04"	"DA08_01"	"DA08_02"	"DA08_03"	"DA08_05"	"DA08_05a"	"DU03"	"DU08"	"DU10"	"DU09"	"DU06_CP"	"DU06"	"DU16"	"DU12"	"DU14"	"DU15"	"DU13"	"ZG01_CP"	"ZG01"	"ZG03_01"	"TIME001"	"TIME002"	"TIME003"	"TIME004"	"TIME005"	"TIME006"	"TIME007"	"TIME008"	"TIME009"	"TIME010"	"TIME012"	"TIME_SUM"	"MAILSENT"	"LASTDATA"	"FINISHED"	"Q_VIEWER"	"LASTPAGE"	"MAXPAGE"	"MISSING"	"MISSREL"	"TIME_RSI"	"DEG_TIME"
210			"base"	"interview"	2023-07-12 12:00:14																				7											4	25										29		2023-07-12 12:00:43	0	0	2	2	0	0	1,75	38
211			"base"	"interview"	2023-07-12 12:01:01	1	2	4	12	1	2	1	1	1	1	2	1	1	1	1		1	4		2	54	1	5	2		4	6	0	403	"HBFQ1GEF4GTE"	2	12	12	4	14	6	3	3	10	3	6	75		2023-07-12 12:02:16	1	0	12	12	0	0	2,52	95
212			"base"	"interview"	2023-07-12 12:27:40	1	3	-9		0	1	1	1	1	0	1	1	1	1	1		2		4	5	55	1	5	2		3	5	0	134	"QH8CNZKJ5QP2"	2	2	2	3	2	3	2	2	12	3	1	34		2023-07-12 12:28:14	1	0	12	12	31	30	2,88	253
213			"base"	"interview"	2023-07-12 12:28:23	1	-9	3		0	1	1	1	1	0	1	1	1	1	1		2		1	2	55	2	4	2		4	6	0	371	"O5DBDB34WSHS"	1	3	2	3	3	2	1	2	6	9		32		2023-07-12 12:28:55	0	0	10	10	31	30	2,76	298
216			"base"	"interview"	2023-07-12 16:50:26	1	1	4	2	2	1	2	1	2	1	1	2	1	1	1		2		2	6	77	1	4	2		4	5	0	192	"HRYV7NCZGL36"	72	87	25	15	74	20	5	6	42	15	16	301		2023-07-12 16:56:43	1	0	12	12	0	0	0,79	5
217			"base"	"interview"	2023-07-12 16:50:29	1	1	3	2	2	2	2	1	1	2	1	2	1	1	2	"FSJ, Vertretungslehrer"	2		3	6	56	1	2	2		3	6	0	6	"2H6Z3ZP2TD9K"	2	24	23	9	97	10	7	2	71	12	9	266		2023-07-12 16:54:55	1	0	12	12	0	0	1,46	33
219			"base"	"interview"	2023-07-12 16:50:31	1	1	4	2	2	2	2	1	1	1	1	1	1	1	2	"Betreuung in einer Schule "	2		4	2	58	1	4	2		4	6	0	390	"EKWDRYAU1XJH"	65	50	7	8	33	9	4	4	45	4	10	180		2023-07-12 16:54:30	1	0	12	12	0	0	1,4	24
220			"base"	"interview"	2023-07-12 16:50:38	1	2	3	2	1	2	1	1	1	1	1	1	1	1	2	"Praktikum, FSJ"	2		3	2	66	1	4	2		3	2	0	3	"VIVL6NBUUCSY"	86	34	22	15	37	18	12	4	52	4	21	225		2023-07-12 16:55:44	1	0	12	12	0	0	0,96	8
221			"base"	"interview"	2023-07-12 16:50:46	1	2	3	2	2	2	1	2	1	1	1	1	1	1	2	"FSJ ""Sport und Schule ""und Trainer "	2		3	5	63	1	4	2		4	3	0	19	"5X4GY914XIXH"	46	61	15	18	50	20	5	5	113	4	79	309		2023-07-12 16:57:42	1	0	12	12	0	0	0,84	6
222			"base"	"interview"	2023-07-12 16:50:50	2	2	4	2	2	2	1	2	1	1	2	1	1	1	1		1	4		6	61	2	3	1	4		6				62	28	18	19	44	11	8	5	53	7		199		2023-07-12 16:55:05	1	0	10	10	0	0	1,01	9
224			"base"	"interview"	2023-07-12 16:50:55	1	1	3	6	2	2	1	2	1	1	1	1	1	1	2	"6 wöchiges Praktikum an einer Grundschule in Rheinland-Pfalz"	2		4	4	65	1	4	2		4	5	0	498	"HWQPYL4LMSTG"	52	62	14	11	43	32	38	22	117	13	10	323		2023-07-12 16:57:49	1	0	12	12	0	0	0,66	2
225			"base"	"interview"	2023-07-12 16:50:58	1	1	3	2	2	2	2	1	1	1	2	1	1	1	1		1	4		7	59	2	3	1	4		7	0	162	"EXMVOHXTA5CZ"	2	80	17	10	55	8	9	6	44	8	21	260		2023-07-12 16:55:18	1	0	12	12	0	0	1,21	18
226			"base"	"interview"	2023-07-12 16:50:59	1	1	4	2	1	2	1	1	1	1	1	1	1	1	2	"Sozialpraktikum"	1	4		3	65	2	3	1	4		3	0	450	"VYHGCAYJDW19"	36	41	12	46	44	28	3	4	44	3	7	235		2023-07-12 16:55:27	1	0	12	12	0	0	1,22	20
228			"base"	"interview"	2023-07-12 16:51:01	1	1	4	2	1	2	1	1	1	1	2	1	1	1	1		1	4		3	69	2	3	1	4		3	0	436	"16WL56UXYSSV"	34	78	14	20	68	13	8	17	49	5	8	314		2023-07-12 16:56:15	1	0	12	12	0	0	0,86	5
229			"base"	"interview"	2023-07-12 16:51:02																	2		3	4	62	2									6	71	35	8								98		2023-07-12 16:53:02	0	0	4	4	0	0	0,93	8
230			"base"	"interview"	2023-07-12 16:51:02	1	1	3	2	2	2	2	1	1	2	1	2	1	1	2	"FSJ an einer Grund-/ und Gesammtschule"	1	4		7	59	1	5	1	4		7	0	310	"31RNED7SG11D"	49	25	19	8	45	12	14	6	64	3	16	218		2023-07-12 16:55:23	1	0	12	12	0	0	1,09	13
231			"base"	"interview"	2023-07-12 16:51:03	1	1	3	4	2	2	2	1	1	2	1	2	1	1	2	"6 Monate Tätigkeit als Lehrerin in England"	1	4		4	74	1	3	1	4		7	0	23	"PN8M6ZBG7WRZ"	33	75	37	9	45	15	7	7	57	4	17	282		2023-07-12 16:56:09	1	0	12	12	0	0	0,9	5
233			"base"	"interview"	2023-07-12 16:51:10	1	1	3	2	1	2	1	1	1	1	1	2	1	1	1		2		3	4	56	2	3	2		4	4	0	232	"IHZPMOKGDWGK"	21	15	13	9	30	20	7	6	50	8	14	193		2023-07-12 16:54:23	1	0	12	12	0	0	1,18	17
235			"base"	"interview"	2023-07-12 16:51:12	1	1	3	4	3	2	2	1	2	2	1	2	1	1	2	"FSJ an einer Grundschule"	2		4	2	67	1	5	2		4	2	0	47	"TF9QGHSEMCMV"	5	99	9	10	69	14	9	4	96	3	6	324		2023-07-12 16:56:37	1	0	12	12	0	0	1,21	17
236			"base"	"interview"	2023-07-12 16:51:13	1	1	4	2	2	2	1	2	1	1	1	1	1	1	2	"Bufdi 1 Jahr"	1	3		7	77	2	2	1	2		5	0	146	"G4XYSSGNCDPV"	47	88	11	8	47	15	9	9	82	5	37	317		2023-07-12 16:57:11	1	0	12	12	0	0	0,85	5
237			"base"	"interview"	2023-07-12 16:51:18	1	1	3	2	2	2	2	1	1	1	1	2	1	1	1		2		1	6	57	2	3	2		1	6	0	487	"SR9F6X8TRG98"	20	23	10	20	17	14	7	7	46	19	21	190		2023-07-12 16:54:42	1	0	12	12	0	0	1,14	17
238			"base"	"interview"	2023-07-12 16:51:18	1	1	3	2	1	2	1	1	1	1	1	1	1	1	2	"2 wöchiges Praktikum in Kindertagesstätte"	2		4	5	66	2	4	2		3	5	0	359	"36WDAAMWF19A"	30	63	13	11	43	18	49	16	131	9	8	274		2023-07-12 16:57:49	1	0	12	12	0	0	0,75	3
239			"base"	"interview"	2023-07-12 16:51:26	1	1	3	2	1	2	1	1	1	1	1	2	1	1	1		2		4	5	60	1	4	2		4	5	0	83	"19W2WHDUE5BY"	4	52	14	12	29	24	7	8	38	4	9	201		2023-07-12 16:54:47	1	0	12	12	0	0	1,17	10
240			"base"	"interview"	2023-07-12 16:51:27	1	1	3	6	1	1	2	1	1	2	1	2	1	1	2	"Auslandspraktikum an Schule und Nachmittagsbetreuung "	1	2		4	85	1	4	1	3		6	0	128	"WRJ26QAZJOYZ"	112	56	9	13	76	18	11	9	46	4	196	260		2023-07-12 17:00:37	1	0	12	12	0	0	0,82	4
241			"base"	"interview"	2023-07-12 16:51:28	1	2	3	2	2	2	2	1	1	1	1	2	1	1	1		2		3	2	76	2	3	2		3	4	0	50	"8BIH6PTDDIA8"	4	95	21	16	85	19	4	10	60	7	4	325		2023-07-12 16:56:53	1	0	12	12	0	0	1,12	16
242			"base"	"interview"	2023-07-12 16:51:28	1	2	4	2	1	2	1	1	1	1	1	1	1	1	2	"FSJ an Schule"	2		4	2	63	2	3	2		4	2	0	424	"H1JB2945F44R"	7	76	9	7	57	23	3	19	43	4	19	267		2023-07-12 16:55:55	1	0	12	12	0	0	1,14	16
243			"base"	"interview"	2023-07-12 16:51:31	1	1	3	2	3	2	2	2	1	1	1	1	1	1	2	"Aushilfslehrer bei Krankheit"	2		4	5	62	1	3	2		3	5	0	429	"KB2ES6T3ETPE"	6	41	18	22	95	24	8	17	68	8	14	321		2023-07-12 16:56:52	1	0	12	12	0	0	0,77	1
244			"base"	"interview"	2023-07-12 16:51:32	1	2	4	2	2	1	2	2	1	1	1	2	1	1	1		2		4	5	58	2	2	2		4	5	0	348	"8487XMIYTWUG"	2	33	15	12	24	12	14	5	45	4	8	174		2023-07-12 16:54:26	1	0	12	12	0	0	1,43	24
245			"base"	"interview"	2023-07-12 16:51:34	1	1	3	2	2	2	2	1	1	1	1	2	1	1	1		2		4	3	71	1	1	2		4	4	0	245	"N1BTLHCISWNL"	17	69	11	20	84	19	7	18	50	3	7	305		2023-07-12 16:56:40	1	0	12	12	0	0	0,95	8
246			"base"	"interview"	2023-07-12 16:51:36	1	1	3	2	1	2	1	1	1	1	1	1	1	1	2	"FSJ"	2		4	3	60	2	3	2		3	3	0	350	"VDDLXRFEDFD9"	3	38	8	23	91	38	18	5	41	5		270		2023-07-12 16:56:06	0	0	10	10	0	0	1,07	13
247			"base"	"interview"	2023-07-12 16:51:39	1	1	4	2	2	2	1	2	1	1	1	2	1	1	1		2		3	5	82	2	3	2		3	5	0	404	"V2TKDYR2CWF8"	9	83	39	26	16	7	5	3	46	5	6	219		2023-07-12 16:55:44	1	0	12	12	0	0	1,42	30
248			"base"	"interview"	2023-07-12 16:51:42	1	1	4	2	2	1	2	2	1	2	1	2	1	1	2	"FSJ "	2		4	3	75	1	3	2		4	5	0	157	"CNAURD6CJ5WV"	22	79	9	10	60	17	9	17	63	14	37	328		2023-07-12 16:57:19	1	0	12	12	0	0	0,76	4
249			"base"	"interview"	2023-07-12 16:51:46	1	1	3	2	1	1	2	1	1	1	1	1	1	1	2	"normales Praktikum in einer Grundschule"	1	3		7	72	2	3	1	3		7	0	299	"ZD29FYJB9FUS"	4	69	18	15	47	24	15	22	78	33	20	302		2023-07-12 16:57:31	1	0	12	12	0	0	0,71	2
250			"base"	"interview"	2023-07-12 16:51:47	1	1	3	2	1	1	2	1	1	2	1	2	1	1	2	"FSJ in einer Schule für Kinder mit geistiger Behinderung "	2		3	6	68	1	4	2		4	5	0	270	"LF52QWCZUFEN"	17	53	9	16	59	19	8	10	64	4	8	267		2023-07-12 16:56:14	1	0	12	12	0	0	0,96	5
251			"base"	"interview"	2023-07-12 16:51:48	1	1	3	4	3	2	2	1	2	2	1	2	1	1	2	"Jugendmigrationsdienst Lehrkraft"	1	3		3	79	2	3	1	3		3	0	220	"KK1TJKYVWIDK"	17	83	25	12	44	25	3	3	100	8	14	334		2023-07-12 16:57:22	1	0	12	12	0	0	1,03	14
252			"base"	"interview"	2023-07-12 16:51:48	1	1	4	2	2	2	1	1	2	1	2	1	1	1	1		2		4	3	85	2	4	1	3		5	0	226	"1XQGAFMS5J3B"	26	76	29	33	47	19	15	7	73	26	25	335		2023-07-12 16:58:04	1	0	12	12	0	0	0,6	0
253			"base"	"interview"	2023-07-12 16:51:49	1	1	3	2	1	1	2	1	1	1	1	2	1	1	1		2		4	5	76	1	4	2		4	5	0	485	"A1LUPABS2ERF"	10	61	13	28	97	18	10	5	37	4	12	295		2023-07-12 16:56:45	1	0	12	12	0	0	0,93	5
254			"base"	"interview"	2023-07-12 16:51:50	1	1	4	2	2	2	1	2	1	1	2	1	1	1	1		2		5	6	83	2	3	1	1		7	0	321	"X1PH8O1JVXZM"	2	25	110	13	20	18	11	51	117	5	5	236		2023-07-12 16:58:07	1	0	12	12	0	0	1,28	26
256			"base"	"interview"	2023-07-12 16:51:50	1	1	4	2	2	1	2	2	1	1	1	2	1	1	1		1	4		6	61	1	4	1	4		6	0	13	"2RHPQZSZ7GD4"	5	33	13	17	41	22	11	5	61	4	13	225		2023-07-12 16:55:35	1	0	12	12	0	0	1,05	7
257			"base"	"interview"	2023-07-12 16:51:53	1	1	3	3	2	2	1	1	2	1	1	1	1	1	2	"im FSJ in der Hortbetreuung "	1	3		7	87	1	5	1	4		7	0	490	"DRKXXPPIX1NQ"	73	64	16	13	62	35	15	11	104	23	29	360		2023-07-12 16:59:18	1	0	12	12	0	0	0,57	0
258			"base"	"interview"	2023-07-12 16:51:56	1	2	4	2	2	2	1	2	1	1	1	2	1	1	1		2		2	4	86	1	4	2		3	4	0	445	"WIPNGYOLG6RM"	16	127	11	7	55	26	5	8	40	6	10	311		2023-07-12 16:57:07	1	0	12	12	0	0	1,02	10
259			"base"	"interview"	2023-07-12 16:51:58	1	1	3	2	1	2	1	1	1	2	1	2	1	1	2	"Praktika"	1	3		7	64	2	4	1	3		7	0	30	"JTZUJKWE615Q"	12	42	7	12	44	10	6	5	51	3	28	220		2023-07-12 16:55:38	1	0	12	12	0	0	1,21	16
260			"base"	"interview"	2023-07-12 16:51:58	1	1	3	2	2	2	2	1	1	1	1	2	1	1	1		2		4	6	57	1	4	2		4	6	0	81	"SOAP9C6XOXRW"	5	11	5	8	14	13	3	3	24	4	6	96		2023-07-12 16:53:34	1	0	12	12	0	0	2,12	64
261			"base"	"interview"	2023-07-12 16:52:01	2	1	3	2	2	1	2	2	1	1	1	2	1	1	1		1	1		7	69	1	3	1	3		6				2	45	24	12	32	21	12	7	105	16		265		2023-07-12 16:56:37	1	0	10	10	0	0	1,05	13
262			"base"	"interview"	2023-07-12 16:52:01	1	1	3	6	3	2	2	2	1	2	1	2	1	2	1		2		4	5	70	1	4	2		3	5	0	135	"VO6RQTFZY9NZ"	3	41	10	32	25	21	8	8	64	7	22	222		2023-07-12 16:56:02	1	0	12	12	0	0	1,05	11
263			"base"	"interview"	2023-07-12 16:52:01	1	1	4	2	1	1	1	2	1	1	2	1	1	1	1		2		5	2	71	2	1	2		4	2	0	326	"VTDVJNZ6722H"	3	47	22	19	55	14	15	33	27	8	14	231		2023-07-12 16:56:18	1	0	12	12	0	0	0,97	11
264			"base"	"interview"	2023-07-12 16:52:04	1	1	3	2	2	2	1	2	1	2	1	2	1	1	2	"freiwilliges Praktikum, Nachhilfe"	2		3	5	64	1	2	2		3	5	0	333	"TNANUT983L4S"	12	20	11	20	46	19	8	7	61	5	9	218		2023-07-12 16:55:42	1	0	12	12	0	0	1,09	9
265			"base"	"interview"	2023-07-12 16:52:05	1	1	3	2	2	1	2	1	2	1	2	1	1	1	1		2		4	1	67	2	1	2		4	1	0	484	"XQ8ZQL2L1IC4"	11	42	10	11	56	9	9	6	35	4	12	205		2023-07-12 16:55:30	1	0	12	12	0	0	1,17	12
266			"base"	"interview"	2023-07-12 16:52:13	1	1	3	2	2	2	2	1	1	1	1	1	1	1	2	"Praktikum während meiner Schulzeit"	1	3		7	73	2	4	2		3	5	0	97	"VYFJON492H27"	2	32	28	18	57	16	12	10	66	4	38	283		2023-07-12 16:56:56	1	0	12	12	0	0	1,04	13
267			"base"	"interview"	2023-07-12 16:52:22	1	3	4	2	2	1	2	2	1	1	2	1	1	1	1		2		5	1	68	2	1	2		5	1	0	418	"OJVJR7BOQIIJ"	4	32	9	16	24	20	15	10	42	5	17	194		2023-07-12 16:55:36	1	0	12	12	0	0	1,12	12
268			"base"	"interview"	2023-07-12 16:52:33	1	1	3	2	1	2	1	1	1	2	1	2	1	1	2	"Freiwilliges Grundschulpraktikum"	2		4	3	78	2	4	1	4		4	0	392	"5HBCZWMFW2DG"	12	39	9	16	48	19	7	10	69	3	7	239		2023-07-12 16:56:32	1	0	12	12	0	0	1,09	10
269			"base"	"interview"	2023-07-12 16:52:34	1	1	3	2	3	2	2	2	1	2	1	2	1	1	2	"Praktikum "	2		5	3	80	1	5	2		5	2	0	499	"YXO9UGIISD58"	2	41	16	36	61	20	8	7	52	5	44	269		2023-07-12 16:57:26	1	0	12	12	0	0	1,03	10
270			"base"	"interview"	2023-07-12 16:52:34	2	1	4	2	2	2	1	2	1	1	2	1	1	1	1		1	4		6	87	2	2	1	4		6				45	57	13	13	50	22	8	7	59	9		244		2023-07-12 16:57:18	1	0	10	10	0	0	0,82	0
271			"base"	"interview"	2023-07-12 16:52:37	1	2	3	2	2	2	1	2	1	1	2	1	1	1	1		2		3	6	88	2	2	2		3	6	0	306	"F9YZZ5W2SFSE"	4	72	23	33	78	22	24	9	67	4	8	308		2023-07-12 16:58:21	1	0	12	12	0	0	0,84	6
272			"base"	"interview"	2023-07-12 16:52:38	1	2	4	2	2	2	1	2	1	1	1	1	1	1	2	"Lernen mit Rückenwind, FSJ"	2		5	2	74	2	1	2		5	2	0	463	"H688AGJAU1UN"	5	27	15	14	54	20	8	6	129	7	13	224		2023-07-12 16:57:36	1	0	12	12	0	0	0,98	6
273			"base"	"interview"	2023-07-12 16:52:39	1	1	3	2	2	2	1	2	1	1	2	1	1	1	1		2		4	5	78	1	4	2		4	3	0	495	"WW9V2BV16MRA"	1	51	8	9	59	72	10	20	40	10	672	225		2023-07-12 17:08:31	0	0	12	12	0	0	1,01	29
274			"base"	"interview"	2023-07-12 16:52:39	1	1	4	2	1	1	2	1	1	2	1	2	1	1	2	"6 Monate ""Jugendbegleitung"" an einer Gemeinschaftsschule "	2		4	6	83	1	4	2		4	6	0	267	"YGSM2ORBYRXI"	4	64	18	15	55	12	7	8	119	7	7	316		2023-07-12 16:57:55	1	0	12	12	0	0	1,01	8
275			"base"	"interview"	2023-07-12 16:52:42	1	1	3	2	1	2	1	1	1	1	1	2	1	1	1		1	3		7	79	1	4	1	3		7	0	132	"FFF2K31FIWJK"	2	54	11	14	109	8	5	11	27	3	6	186		2023-07-12 16:56:52	1	0	12	12	0	0	1,51	31
276			"base"	"interview"	2023-07-12 16:52:43	1	2	4	2	2	1	2	2	1	1	1	1	1	1	2	"Unterrichten als Lehrer in meinen Semesterferien"	2		3	7	81	1	3	1	4		7	0	160	"7ITBMKZN51WF"	3	57	21	7	39	13	9	8	96	5	8	266		2023-07-12 16:57:09	1	0	12	12	0	0	1,16	13
277			"base"	"interview"	2023-07-12 16:52:45	1	1	3	6	1	2	1	1	1	2	1	2	1	1	2	"FSJ & betriebspraktikum in der 8. Klasse"	1	4		7	80	2	3	1	4		7	0	286	"CW1LT2SDHEZ1"	13	54	8	6	32	11	6	4	81	4	27	246		2023-07-12 16:56:51	1	0	12	12	0	0	1,24	19
278			"base"	"interview"	2023-07-12 16:52:46	1	2	4	2	2	2	1	2	1	1	1	1	1	1	2	"Bfd"	2		4	5	73	1	4	2		3	5	0	337	"BJ4SOWJBOHUQ"	6	22	9	10	39	13	6	4	28	11	12	160		2023-07-12 16:55:26	1	0	12	12	0	0	1,37	21
279			"base"	"interview"	2023-07-12 16:52:47	1	1	3	2	1	2	1	1	1	2	1	2	1	1	2	"Schwimmunterricht"	2		4	4	93	1	4	2		5	4	0	372	"QOFX6I1JJ2UP"	36	119	21	10	74	17	11	13	95	17	32	433		2023-07-12 17:00:12	1	0	12	12	0	0	0,61	2
280			"base"	"interview"	2023-07-12 16:52:48	1	1	3	2	1	2	1	1	1	1	1	2	1	1	1		2		3	6	70	2	2	2		3	6	0	61	"A83LIFTVEEZA"	2	22	8	8	33	16	9	4	26	3	1385	143		2023-07-12 17:18:04	1	0	12	12	0	0	1,59	34
281			"base"	"interview"	2023-07-12 16:52:48	1	1	3	2	2	2	2	1	1	2	1	2	1	1	2	"Freiwilliges Soziales Jahr an einer Grundschule "	2		3	3	88	1	4	2		4	3	0	26	"SUTLMCD1OSH9"	2	93	10	13	51	30	4	8	59	7	34	311		2023-07-12 16:58:00	1	0	12	12	0	0	1,11	15
284			"base"	"interview"	2023-07-12 16:52:53	1	1	3	2	2	2	2	1	1	1	2	1	1	1	1		2		3	4	75	2	5	2		3	5	0	344	"LGK8O86NMXXU"	7	25	8	7	31	17	4	11	56	5	10	181		2023-07-12 16:55:54	1	0	12	12	0	0	1,33	19
285			"base"	"interview"	2023-07-12 16:52:53	1	1	3	1	2	1	2	1	2	1	2	1	1	1	1		1	3		4	72	1	4	1	4		5	0	230	"3JS9WZEIM1CF"	9	11	9	11	51	11	10	9	42	9	11	183		2023-07-12 16:55:56	1	0	12	12	0	0	1,21	24
286			"base"	"interview"	2023-07-12 16:52:54	1	1	3	2	1	2	1	1	1	2	1	2	1	1	2	"weitere freiwillige Praktika"	2		4	4	81	2	3	2		3	5	0	145	"ZG8NO3DM9ZNN"	6	53	10	9	27	22	17	10	61	7	35	257		2023-07-12 16:57:11	1	0	12	12	0	0	0,94	6
287			"base"	"interview"	2023-07-12 16:52:57	1	1	4	2	2	2	1	1	2	1	1	2	1	1	1		2		2	6	82	1	2	2		2	6	0	56	"97FW9BZMPYOS"	7	53	13	9	42	20	21	10	40	6	25	246		2023-07-12 16:57:03	1	0	12	12	0	0	0,91	4
288			"base"	"interview"	2023-07-12 16:52:58	1	1	3	2	3	2	2	2	1	2	1	2	1	1	2	"FSJ in einem Kindergaten "	2		4	3	94	2	4	2		4	5	0	456	"3NR74EBUIN2T"	3	128	30	16	34	28	6	7	54	7	56543	325		2023-07-13 08:40:34	0	0	12	12	0	0	0,88	8
289			"base"	"interview"	2023-07-12 16:53:05	1	2	4	2	2	1	2	2	1	1	1	1	1	1	2	"Bildungsprojekte an einer Schule im Rahmen meines BFDs"	1	3		7	89	2	2	1	2		6	0	356	"D8ZDJFWL648J"	5	87	10	10	59	12	30	12	61	4	14	282		2023-07-12 16:58:09	1	0	12	12	0	0	0,95	7
290			"base"	"interview"	2023-07-12 16:53:09	1	2	4	2	1	1	1	2	1	1	1	2	1	1	1		2		5	1	90	2	1	2		5	1	0	311	"J19OYZ8YCMVK"	7	66	20	16	26	12	3	4	39	5	11	209		2023-07-12 16:56:38	1	0	12	12	0	0	1,29	19
292			"base"	"interview"	2023-07-12 16:53:10	1	1	3	2	2	2	2	1	1	1	2	1	1	1	1		2		4	4	84	2	3	2		4	4	0	324	"3K74D45L96KW"	6	43	12	11	23	20	12	4	47	4	4	186		2023-07-12 16:56:16	1	0	12	12	0	0	1,37	21
293			"base"	"interview"	2023-07-12 16:53:20	1	1	3	2	1	1	2	1	1	2	1	2	1	1	2	"FSJ an Grundschule "	2		3	3	89	1	4	2		4	3	0	405	"ZLB7L5AHI62V"	7	56	13	16	35	26	7	8	78	4	5	255		2023-07-12 16:57:35	1	0	12	12	0	0	1,08	9
294			"base"	"interview"	2023-07-12 16:53:22	1	1	3	2	1	2	1	1	1	2	1	2	1	1	2	"Einwöchiges Praktikum"	1	3		6	91	2	3	2		3	6	0	193	"RZKWSCF9I397"	24	70	13	12	46	22	9	10	47	3	2	258		2023-07-12 16:57:40	1	0	12	12	0	0	1,12	27
295			"base"	"interview"	2023-07-12 16:53:26	1	1	3	2	2	1	2	2	1	2	1	2	1	1	2	"Nachhilfe, Betreueung bei Kinderfreizeit, Praktikum "	1	5		7	86	2	2	1	4		7	0	113	"B8ZYT87HOB9P"	6	18	31	16	43	12	9	11	56	4	7	213		2023-07-12 16:57:00	1	0	12	12	0	0	1,18	15
296			"base"	"interview"	2023-07-12 16:53:29	1	1	3	2	3	2	2	2	1	1	1	2	1	1	1		2		4	4	84	1	4	2		4	5	0	282	"2GTS8BI7MUEH"	4	34	8	8	41	20	13	4	75	5		212		2023-07-12 16:57:02	0	0	10	10	0	0	1,23	15
297			"base"	"interview"	2023-07-12 16:53:55	1	1	3	2	1	2	1	1	1	1	1	2	1	1	1		2		4	2	90	1	1	2		4	4	0	163	"JIWAVC4AWS9U"	3	43	13	11	61	19	12	9	40	4	6	221		2023-07-12 16:57:36	1	0	12	12	0	0	1,19	13
299			"base"	"interview"	2023-07-12 16:54:07	1	3	4	2	1	2	1	1	1	1	2	1	1	1	1		1	5		7	95	2	1	1	5		7	0	399	"YDZ7Z3UDMQWV"	44	72	7	7	42	10	7	4	25	5		185		2023-07-12 16:57:50	0	0	10	10	0	0	1,35	23
300			"base"	"interview"	2023-07-12 16:54:12	1	1	3	2	3	2	2	2	1	2	1	2	1	1	2	"Fsj an schule"	2		4	5	94	1	4	2		4	6	0	319	"XB732FADFXXF"	2	27	60	14	24	15	20	8	58	6	62605	199		2023-07-13 10:21:31	0	0	12	12	0	0	1,1	18
301			"base"	"interview"	2023-07-12 16:54:14	2	2	4	2	1	1	1	2	1	1	2	1	1	1	1		1	2		5	92	2	3	1	4		6				13	44	12	14	39	11	4	3	61	8		209		2023-07-12 16:57:43	1	0	10	10	0	0	1,23	17
302			"base"	"interview"	2023-07-12 16:54:18	1	1	3	2	1	2	1	1	1	1	1	2	1	1	1		2		3	6	93	2	2	2		2	6	0	90	"MEL3KTAYS9X7"	3	57	12	8	56	16	7	11	52	4	4	230		2023-07-12 16:58:08	1	0	12	12	0	0	1,33	19
303			"base"	"interview"	2023-07-12 16:54:38	1	1	3	2	4	2	2	2	2	1	1	1	1	1	2	"Freiwilliges Praktikum "	2		3	4	95	1	3	2		2	4	0	102	"C4PM5TIOPGYJ"	2	52	14	22	72	27	34	4	88	4	2	295		2023-07-12 16:59:59	1	0	12	12	0	0	1,24	36
304			"base"	"interview"	2023-07-12 16:54:40	1	1	3	2	1	2	1	1	1	1	2	1	1	1	1		2		4	3	91	1	5	2		3	4	0	480	"181ZXYFZZ8E9"	4	9	13	13	38	20	14	29	89	31	118	224		2023-07-12 17:00:58	1	0	12	12	0	0	0,93	24
305			"base"	"interview"	2023-07-12 16:55:06	1	1	3	4	3	2	2	1	2	1	1	1	1	2	1		2		3	3	92	1	4	2		4	3	0	122	"SZZEVTCVGA6Z"	3	13	9	6	28	11	4	3	27	6	6	116		2023-07-12 16:57:02	1	0	12	12	0	0	1,91	50
306			"base"	"interview"	2023-07-12 16:55:18	1	1	3	2	3	2	2	2	1	1	1	2	1	1	1		2		3	5	96	1	4	2		4	5	0	75	"YS2SIKUCXPWU"	9	42	10	19	61	12	6	5	100	23	25	294		2023-07-12 17:00:30	1	0	12	12	0	0	0,91	8
307			"base"	"interview"	2023-07-12 16:55:53	1	1	3	2	2	2	2	1	1	1	2	1	1	1	1		2		3	4	96	2	1	2		3	4	0	391	"MCINTP7RL7HE"	2	29	15	18	20	19	5	7	40	6	12	173		2023-07-12 16:58:46	1	0	12	12	0	0	1,39	22
308			"base"	"interview"	2023-07-12 17:00:22																	1	4		6	97	2									10	25	13	52								61		2023-07-12 17:02:02	0	0	4	4	0	0	0,96	13